Time,Input,Output
0.97,10.3497,11.0953
0.971,10.2236,10.8984
0.972,10.1154,10.7227
0.973,10.0265,10.5539
0.974,9.95791,10.3992
0.975,9.91071,10.2656
0.976,9.88567,10.1531
0.977,9.88341,10.0547
0.978,9.90435,9.98438
0.979,9.94872,9.93516
0.98,10.0166,9.91406
0.981,10.1077,9.91406
0.982,10.2218,9.93516
0.983,10.3582,9.99141
0.984,10.5164,10.0547
0.985,10.6953,10.1391
0.986,10.8939,10.2375
0.987,11.1109,10.343
0.988,11.345,10.4695
0.989,11.5947,10.6102
0.99,11.8582,10.7789
0.991,12.1338,10.9758
0.992,12.4198,11.1867
0.993,12.7141,11.4258
0.994,13.0147,11.6859
0.995,13.3198,11.9602
0.996,13.6272,12.2484
0.997,13.9349,12.5438
0.998,14.2408,12.8531
0.999,14.543,13.1625
1,14.8395,13.4789
1.001,15.1284,13.7953
1.002,15.4079,14.0977
1.003,15.6764,14.4
1.004,15.9322,14.6813
1.005,16.1739,14.9625
1.006,16.4001,15.2367
