Time,Input,Output
0.885,1.53744,1.76606
0.886,1.48907,1.87628
0.887,1.43672,1.87628
0.888,1.38073,1.72263
0.889,1.32147,1.72263
0.89,1.25935,1.74429
0.891,1.19478,1.78062
0.892,1.12824,1.78062
0.893,1.06018,1.64398
0.894,0.9911,1.64398
0.895,0.921492,1.67957
0.896,0.851858,1.67957
0.897,0.782702,1.69388
0.898,0.714527,1.69388
0.899,0.647824,1.69388
0.9,0.583077,1.64398
0.901,0.52075,1.65108
0.902,0.461288,1.64398
0.903,0.405114,1.59459
0.904,0.35262,1.57358
0.905,0.304168,1.51802
0.906,0.260088,1.57358
0.907,0.22067,1.51802
0.908,0.186164,1.54572
0.909,0.156781,1.54572
0.91,0.132686,1.50423
0.911,0.114001,1.50423
0.912,0.100799,1.50423
0.913,0.0931099,1.50423
0.914,0.0909153,1.37534
0.915,0.0941508,1.37534
0.916,0.102706,1.59459
0.917,0.116426,1.59459
0.918,0.135113,1.23728
0.919,0.158528,1.23728
0.92,0.186393,1.26973
0.921,0.218392,1.26973
0.922,0.254177,1.1478
0.923,0.293369,1.27626
0.924,0.335563,1.1859
0.925,0.380328,1.27626
0.926,0.427217,1.23728
0.927,0.475764,1.38203
0.928,0.525495,1.23728
0.929,0.575927,1.28933
0.93,0.626573,1.25672
0.931,0.676952,1.25672
0.932,0.726585,1.26973
0.933,0.775005,1.26973
0.934,0.821757,1.12889
0.935,0.866408,1.04804
0.936,0.908545,1.07273
0.937,0.94778,1.01742
0.938,0.983756,1.07273
0.939,1.01615,1.01742
0.94,1.04466,1.06036
0.941,1.06905,1.01742
0.942,1.0891,0.96295
0.943,1.10464,0.96295
0.944,1.11554,1.02964
0.945,1.12172,1.02964
0.946,1.12314,1.08514
0.947,1.1198,1.08514
0.948,1.11176,1.06036
0.949,1.09912,1.0542
0.95,1.082,1.0542
0.951,1.06061,1.0542
0.952,1.03515,1.14148
0.953,1.00589,1.1478
0.954,0.973121,1.03576
0.955,0.937183,1.03576
0.956,0.898432,0.993105
0.957,0.857257,1.11634
0.958,0.814069,0.993105
0.959,0.769302,1.06654
0.96,0.723403,1.04804
0.961,0.676832,1.04804
0.962,0.630057,0.981012
0.963,0.583551,0.981012
0.964,0.537785,1.09136
0.965,0.493227,1.01132
0.966,0.450334,0.874055
0.967,0.409554,1.01132
0.968,0.371314,0.874055
0.969,0.336025,0.950962
0.97,0.304069,0.950962
0.971,0.275805,0.950962
0.972,0.251558,0.868212
0.973,0.231623,0.868212
0.974,0.216257,0.921173
0.975,0.205679,0.981012
0.976,0.200067,0.891646
0.977,0.19956,0.833375
0.978,0.204253,0.874055
0.979,0.214197,0.833375
0.98,0.229399,0.874055
0.981,0.249823,0.821847
0.982,0.27539,0.903425
0.983,0.305977,0.787512
0.984,0.341421,0.903425
0.985,0.381518,0.833375
0.986,0.426026,0.915247
0.987,0.474667,0.915247
0.988,0.527131,0.827606
0.989,0.583075,0.804632
0.99,0.642131,0.77615
0.991,0.703907,0.77615
0.992,0.767988,0.731123
0.993,0.833944,0.798915
0.994,0.901332,0.77615
0.995,0.9697,0.77615
